1666,191.24
drone\DronMovement\xVar,drone\DronMovement\yVar,drone\DronMovement\zVar
3.76,0.02,-0.11
3.90,0.02,-0.10
4.03,0.02,-0.10
4.15,0.02,-0.10
4.28,0.02,-0.10
4.40,0.02,-0.10
4.53,0.02,-0.10
4.64,0.02,-0.09
4.75,0.02,-0.09
4.84,0.02,-0.09
4.95,0.02,-0.09
5.05,0.02,-0.09
5.14,0.02,-0.09
5.23,0.02,-0.09
5.32,0.02,-0.09
5.40,0.02,-0.09
5.48,0.02,-0.09
5.55,0.02,-0.09
5.62,0.02,-0.09
5.69,0.02,-0.09
5.75,0.02,-0.09
5.81,0.02,-0.09
5.87,0.02,-0.09
5.92,0.02,-0.09
5.98,0.02,-0.09
6.02,0.02,-0.09
6.06,0.02,-0.09
6.11,0.02,-0.09
6.15,0.02,-0.09
6.19,0.02,-0.09
6.22,0.02,-0.09
6.26,0.02,-0.09
