763,87.82
drone\DronMovement\xVar,drone\DronMovement\yVar,drone\DronMovement\zVar
1.39,0.02,-0.05
1.42,0.02,-0.05
1.44,0.02,-0.05
1.46,0.02,-0.04
1.49,0.02,-0.04
1.51,0.02,-0.04
1.54,0.02,-0.04
1.57,0.02,-0.04
1.60,0.02,-0.04
1.63,0.02,-0.04
1.65,0.02,-0.03
1.68,0.02,-0.03
1.70,0.02,-0.03
1.73,0.02,-0.03
1.75,0.02,-0.03
1.77,0.02,-0.03
1.79,0.02,-0.03
1.81,0.02,-0.03
1.83,0.02,-0.03
1.84,0.02,-0.03
1.86,0.02,-0.03
1.88,0.02,-0.03
1.89,0.02,-0.03
1.91,0.02,-0.04
1.92,0.02,-0.04
1.93,0.02,-0.04
1.94,0.02,-0.04
1.95,0.02,-0.04
1.96,0.02,-0.04
1.97,0.02,-0.04
1.98,0.02,-0.05
1.99,0.02,-0.05
2.00,0.02,-0.05
2.00,0.02,-0.05
2.01,0.02,-0.05
2.01,0.02,-0.05
2.02,0.02,-0.05
2.02,0.02,-0.05
2.03,0.02,-0.05
2.03,0.02,-0.05
2.04,0.02,-0.05
2.04,0.02,-0.05
2.05,0.02,-0.05
2.06,0.02,-0.05
2.06,0.02,-0.05
2.07,0.02,-0.05
2.08,0.02,-0.05
2.09,0.02,-0.04
2.10,0.02,-0.04
2.11,0.02,-0.04
2.12,0.02,-0.04
2.13,0.02,-0.04
2.14,0.02,-0.04
2.15,0.02,-0.04
2.16,0.02,-0.04
2.17,0.02,-0.04
2.18,0.02,-0.04
2.19,0.02,-0.04
2.20,0.02,-0.04
2.20,0.02,-0.04
2.21,0.02,-0.04
2.22,0.02,-0.04
2.22,0.02,-0.04
2.23,0.02,-0.04
2.23,0.02,-0.04
2.24,0.02,-0.04
2.24,0.02,-0.04
2.25,0.02,-0.04
2.25,0.02,-0.04
2.26,0.02,-0.04
2.26,0.02,-0.04
2.26,0.02,-0.04
2.27,0.02,-0.04
2.27,0.02,-0.04
2.27,0.02,-0.04
2.27,0.02,-0.04
2.27,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.28,0.02,-0.04
2.29,0.02,-0.04
2.30,0.02,-0.04
2.33,0.02,-0.04
2.36,0.02,-0.04
2.40,0.02,-0.04
2.47,0.02,-0.03
2.57,0.02,-0.03
2.68,0.02,-0.03
2.79,0.02,-0.03
2.95,0.02,-0.03
3.12,0.02,-0.04
3.28,0.02,-0.04
3.49,0.02,-0.04
3.70,0.02,-0.05
3.88,0.02,-0.05
4.09,0.02,-0.06
4.29,0.02,-0.07
4.44,0.02,-0.07
4.61,0.02,-0.08
4.75,0.02,-0.08
4.86,0.02,-0.09
4.94,0.02,-0.09
4.98,0.02,-0.09
4.98,0.02,-0.09
4.95,0.02,-0.09
4.90,0.02,-0.09
4.81,0.02,-0.09
4.69,0.02,-0.09
4.56,0.02,-0.08
4.40,0.02,-0.08
4.24,0.02,-0.07
4.07,0.02,-0.07
3.89,0.02,-0.07
3.71,0.02,-0.07
3.53,0.02,-0.06
3.38,0.02,-0.06
3.20,0.02,-0.06
3.03,0.02,-0.06
2.90,0.02,-0.06
2.77,0.02,-0.06
2.64,0.02,-0.06
2.52,0.02,-0.06
2.42,0.02,-0.06
2.35,0.02,-0.06
2.28,0.02,-0.05
2.21,0.02,-0.05
2.16,0.02,-0.05
2.11,0.02,-0.05
2.07,0.02,-0.05
